Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1971","1971","hg/ha","16022","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1971","1971","ha","5977609","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1971","1971","hg/ha","10833","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1971","1971","ha","113226","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1971","1971","hg/ha","114594","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1971","1971","ha","1456480","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1971","1971","hg/ha","23293","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1972","1972","ha","19138896","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1972","1972","hg/ha","13799","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1972","1972","ha","3674700","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1972","1972","hg/ha","75460","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1972","1972","ha","36687808","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1972","1972","hg/ha","16046","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1972","1972","ha","127259","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1972","1972","hg/ha","9038","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1972","1972","ha","149488","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1972","1972","hg/ha","62980","E","Estimated value"
